evt,min,loc_err_h,loc_err_z,loc_err_resid,loc_num_st,loc_min_dist,loc_avg_dist,loc_stdev_dist,loc_azim_gap_1,loc_azim_gap_2,mag,mag_err,mag_num_st
23197631,16,14.7985,16.4487,1.47388,50,1427.401625,7067.40862621,4618.00450288,53.3663,55.9491,5.58654,0.11158,8
23608171,1,6.00006,8.15186,1.56273,11,268.0924328,972.197346136,465.492164406,119.185,175.441,5.49939,0.199675,8
23608171,2,21.4258,50.4251,1.78982,20,251.5462489,1589.43719975,806.979017878,89.9101,146.449,5.53308,0.211855,11
23608171,3,26.748,17.5414,1.51543,20,261.1341626,1903.67020244,947.611544567,89.3373,144.228,5.63597,0.19309,19
23608171,4,8.64871,11.4456,1.48681,27,259.9333106,2398.52956668,1183.13712397,89.2529,138.502,5.61584,0.22104,20
23608171,5,8.12737,11.053,1.47019,30,260.4347775,2719.28969623,1432.89525546,89.2532,138.482,5.61571,0.22096,20
23608171,6,8.36274,8.82868,1.47915,47,262.8020126,3568.27815754,1730.58124568,89.1711,138.308,5.61487,0.220275,20
23608171,7,8.66813,9.19614,1.46213,56,264.6566618,3888.68841464,1884.59164844,89.3391,138.394,5.63387,0.151095,25
23608171,8,8.06314,9.25861,1.44364,67,265.7574428,4465.59731297,2168.27932017,89.3813,138.39,5.66067,0.137355,29
23608171,9,7.89757,8.67284,1.40095,88,264.6566618,5346.38215227,2506.30922658,49.0548,86.0285,5.63124,0.139485,28
23608171,10,11.9022,15.4726,1.25967,118,264.9346368,6540.22187311,2814.90955311,36.9282,66.0738,5.65248,0.130835,29
23608171,11,11.9022,15.4726,1.25656,123,264.9346368,6540.22187311,2814.90955311,36.9282,66.0738,5.6742,0.13529,32
23608171,12,11.866,15.315,1.25477,124,264.9346368,6731.60469529,2876.38656085,36.9282,66.0738,5.6742,0.13529,32
23608171,13,11.866,15.315,1.24159,125,264.9346368,6731.60469529,2876.38656085,36.9282,66.0738,5.6742,0.13529,32
23608171,14,11.866,15.315,1.24159,125,264.9346368,6731.60469529,2876.38656085,36.9282,66.0738,5.6742,0.13529,32
23608171,15,11.866,15.315,1.24159,125,264.9346368,6731.60469529,2876.38656085,36.9282,66.0738,5.6742,0.13529,32
23608171,16,11.4806,15.0447,1.25987,154,264.4187152,8260.26679721,4143.279711,36.9138,66.0605,5.67417,0.135285,32
23608791,1,12.747,20.5724,1.32681,25,890.2949943,2425.70667425,809.700723021,94.9379,151.476,5.47812,0.1412,9
23608791,2,18.9323,19.1772,1.26202,31,890.2949943,2760.38740927,1018.7462201,94.9379,151.476,5.47812,0.1412,9
23608791,3,15.585,18.0644,1.212,37,889.7623942,3081.1682996,1211.29131595,94.8439,114.321,5.51018,0.143525,8
23608791,4,14.4074,18.6626,1.23759,43,886.8714542,3522.57077533,1419.27089074,94.5107,106.158,5.50832,0.14388,8
23608791,5,14.2527,18.0487,1.18289,48,888.652718,3973.1826156,1724.74537987,75.1884,91.8711,5.49457,0.148525,7
23608791,6,14.5184,17.7194,1.28209,54,888.652718,4315.41506302,2077.57952803,75.1884,88.7914,5.50656,0.14433,8
23608791,7,14.5128,18.2066,1.26192,62,889.9658719,4953.86638048,2558.63194755,38.914,50.6507,5.50696,0.14427,8
